handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_3903680a-cd16-5796-37b9-d2869a1d4f96,Product,All New England Sports Teams Zippy Clutch,"<p>This is a beautiful&nbsp;zippy clutch bag featuring Custom Cotton Woven Fabrics (exterior), Kona Cotton Woven Fabirc (lining), Marine Vinyl and Nickel hardware.&nbsp;<br><br>Bag measures approxiametly 10 inches long by 6 inches high.</p>",a680d7_1ab4816e407f4a029d1cb20eace74958~mv2.jpg,Zippy Clutch,,Custom Order,30.0,,true,PERCENT,0.0,InStock,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2def641e-070f-aaaf-11a2-029328cf3466,Product,Red Sox Zippy Clutch,"<p>Red Sox fabric may be different. Inquire with Shop Owner.&nbsp;</p><p>&nbsp;</p><p>This is a beautiful&nbsp;zippy clutch bag featuring 100%&nbsp; Cotton Woven Fabrics (exterior), Kona Cotton Woven Fabirc (lining),&nbsp; Zipper Pull, Marine Vinyl and Nickel hardware.&nbsp;<br><br>Bag measures approxiametly 10 inches long by 6 inches high.</p>",a680d7_05e1c91426c44c3ea7493605721a53d3~mv2.jpg;a680d7_c9f86a4f14994ababd91c0c2d2a4d513~mv2.jpg,Zippy Clutch,,Custom Order,30.0,,true,PERCENT,0.0,InStock,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5b734246-6eb7-65da-30d5-e376129dacef,Product,Wu Tang Zippy Clutch,"<p>This is a beautiful&nbsp;zippy clutch bag featuring Custom Cotton Woven Fabrics (exterior), Kona Cotton Woven Fabirc (lining), Marine Vinyl and Gunmetal finish&nbsp;hardware.&nbsp;<br><br>Bag measures approxiametly 10 inches long by 6 inches high.</p>",a680d7_7d59def048b748c096c1840ef948121a~mv2.jpg,Zippy Clutch,,New Arrival,30.0,,true,PERCENT,0.0,InStock,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fe8c2202-a99e-637a-fdd1-1c674e6c723a,Product,Chef Zippy Clutch,"<p>This is a beautiful&nbsp;zippy clutch bag featuring Custom Cotton Woven Fabrics (exterior), Kona Cotton Woven Fabirc (lining), Chef Zipper Pull, Marine Vinyl and Gunmetal finish hardware.&nbsp;<br><br>Bag measures approxiametly 10 inches long by 6 inches high.</p>",a680d7_3be680788915401c9063d7701623b0e2~mv2.jpg;a680d7_3a6ba9f48f5d443897d5faa1ad99d6cd~mv2.jpg;a680d7_a4c827683228478a9c4b7c6f53faa6d7~mv2.jpg,Zippy Clutch,,New Arrival,30.0,,true,PERCENT,0.0,InStock,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_90c5b5cc-827e-454d-9dd7-10239fd2b414,Product,Splitting Seams Zippy Clutch _ NBC,"<p>This is a beautiful&nbsp;zippy clutch bag featuring Custom Cotton Woven Fabrics (exterior), Kona Cotton Woven Fabirc (lining), Jack Skeleton Zipper Pull, Marine Vinyl and Nickel hardware.&nbsp;<br><br>Bag measures approxiametly 10 inches long by 6 inches high.</p>",a680d7_3bc5892edc794f5da6956fbf13bcf2ff~mv2.jpg;a680d7_7a9a9f92bb0048919770a6cc4e6070d7~mv2.jpg;a680d7_2c711ef24aaf458aae74f4544e0611d9~mv2.jpg,Zippy Clutch,,New Arrival,30.0,,true,PERCENT,0.0,InStock,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_804f0d59-5076-0f22-c02e-a9a176411d03,Product,Motorcycle Zippy Clutch (BLUE),"<p>This is a beautiful&nbsp;zippy clutch bag featuring Custom Cotton Woven Fabrics (exterior), Kona Cotton Woven Fabirc (lining), HD logo Zipper Pull, Marine Vinyl and Nickel hardware.&nbsp;<br><br>Bag measures approxiametly 10 inches long by 6 inches high.</p>",a680d7_1b845202edca4d0395a40f56a638b726~mv2.jpg;a680d7_38bc1668041d49a983ff12435a72d336~mv2.jpg,Zippy Clutch,,Custom Order,30.0,,true,PERCENT,0.0,InStock,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c8ff4d6e-d6ad-99d6-bb56-166f6771ffd1,Product,Harry Potter Zippy Clutch,"<p>Ready to ship.</p><p>&nbsp;</p><p>This is a beautiful&nbsp;zippy clutch bag featuring Custom Cotton Woven Fabrics (exterior), Kona Cotton Woven Fabirc (lining), HP Zipper Pull, Marine Vinyl and Nickel hardware.&nbsp;<br><br>Bag measures approxiametly 10 inches long by 6 inches high.</p>",a680d7_9195083b020f4648adbf29d42f88de37~mv2.jpg;a680d7_6ac1543018624b24bf0d8cba1e2b1b26~mv2.jpg;a680d7_f8b6b7c657a0414b8bcb510ad692f4ff~mv2.jpg,Zippy Clutch,,New Arrival,30.0,,true,PERCENT,0.0,InStock,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_164511c6-2469-66e3-11e5-4c3509f69da3,Product,Motorcycle Harley,,a680d7_5af64770c0bf49b199a50358c9ff6e11~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d5c9565f-2f2e-8337-bcef-c85c1f8997ab,Product,Skeleton Motorcycles,,a680d7_1746f7cfa69b4b0d98a4655ec213f1a8~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_db0de699-b784-0b6c-82d4-ab0b7c61a10b,Product,"Lucy, I Love You",,a680d7_199834964498465385c30b2e44412705~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_96b96f00-1613-92d9-a9cd-61c45f15476d,Product,Hello Motorcycle Kitty,,a680d7_9addd8d68e124620a0b629f4ff5a6c2d~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a3e47555-9d75-e9fd-a574-e2b1342c444b,Product,Motorcycle Davidson,,a680d7_c15d98c5ffcd4a20aa2d40014104497c~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c812645b-790d-f580-2361-3e3c2f97b78a,Product,Motorcyle Gear,,a680d7_8449cecdab8a4668a0408c3418e77303~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_a7cec795-2eac-9a5b-5737-87ddcf3b6a8e,Product,Karate Cobra,<p>Strike Hard Karate Cobra</p>,a680d7_e22a3918c04c439bad25081d00bfc179~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d541268b-7c32-494f-a434-6e2db8c942bc,Product,Wu Tang,,a680d7_56b5ee9a7b864a3d99f51f0f0e024a6d~mv2.jpg,,,,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_020e2c54-89e7-50ca-d23e-d0fae4a47419,Product,Teeny Booper,<p>Perfect for any teeny booper.</p>,a680d7_62b2470b18d64b22815ede563c9e48db~mv2.jpg,,,Fabric,12.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
