"additionalInfoDescription1","additionalInfoDescription2","additionalInfoDescription3","additionalInfoDescription4","additionalInfoDescription5","additionalInfoDescription6","additionalInfoTitle1","additionalInfoTitle2","additionalInfoTitle3","additionalInfoTitle4","additionalInfoTitle5","additionalInfoTitle6","collections","customTextCharLimit1","customTextCharLimit2","customTextField1","customTextField2","customTextMandatory1","customTextMandatory2","description","discountMode","discountValue","fieldType","handleIds","inventory","name","price","productImageUrl","productOptionDescription1","productOptionDescription2","productOptionDescription3","productOptionDescription4","productOptionDescription5","productOptionDescription6","productOptionName1","productOptionName2","productOptionName3","productOptionName4","productOptionName5","productOptionName6","productOptionType1","productOptionType2","productOptionType3","productOptionType4","productOptionType5","productOptionType6","ribbon","sku","surcharge","visible","weight"
"","","","","","","","","","","","","Bouffant Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_f005acaf-4307-7bf2-d0f9-b0b08521871d0","InStock","Sunflowers 🌻","12.0","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Domino Fitted Mask","","","","","","","","PERCENT","0.0","Product","product_f005acaf-4307-7bf2-d0f9-b0b08521871d1","InStock","Sunflowers 🌻","12.0","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Harlequin Clutch","","","","","","","","PERCENT","0.0","Product","product_f005acaf-4307-7bf2-d0f9-b0b08521871d2","InStock","Sunflowers 🌻","12.0","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Key Lanyard","","","","","","","","PERCENT","0.0","Product","product_f005acaf-4307-7bf2-d0f9-b0b08521871d3","InStock","Sunflowers 🌻","12.0","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Long Hair Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_f005acaf-4307-7bf2-d0f9-b0b08521871d4","InStock","Sunflowers 🌻","12.0","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Pleated Masks","","","","","","","","PERCENT","0.0","Product","product_f005acaf-4307-7bf2-d0f9-b0b08521871d5","InStock","Sunflowers 🌻","12.0","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Scrub Caps","","","","","","","","PERCENT","0.0","Product","product_f005acaf-4307-7bf2-d0f9-b0b08521871d6","InStock","Sunflowers 🌻","12.0","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Tear Drop Coin Purse","","","","","","","","PERCENT","0.0","Product","product_f005acaf-4307-7bf2-d0f9-b0b08521871d7","InStock","Sunflowers 🌻","12.0","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Zippy Clutch","","","","","","","","PERCENT","0.0","Product","product_f005acaf-4307-7bf2-d0f9-b0b08521871d8","InStock","Sunflowers 🌻","12.0","a680d7_7467c861fd5b4c7f974d3338f8a4e13c~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Bouffant Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_b8f98125-3d42-867e-6053-4dc338e93a610","InStock","Seven Dwarfs","12.0","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Domino Fitted Mask","","","","","","","","PERCENT","0.0","Product","product_b8f98125-3d42-867e-6053-4dc338e93a611","InStock","Seven Dwarfs","12.0","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Harlequin Clutch","","","","","","","","PERCENT","0.0","Product","product_b8f98125-3d42-867e-6053-4dc338e93a612","InStock","Seven Dwarfs","12.0","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Key Lanyard","","","","","","","","PERCENT","0.0","Product","product_b8f98125-3d42-867e-6053-4dc338e93a613","InStock","Seven Dwarfs","12.0","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Long Hair Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_b8f98125-3d42-867e-6053-4dc338e93a614","InStock","Seven Dwarfs","12.0","a680d7_d824eb7d4e3d43ad82d54f543ad2f3d5~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
